time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,num_caseload,pc_caseload
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity major,Asian/Asian British,47375,8.270356424
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity major,Black/African/Caribbean/Black British,32743,5.716016473
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity major,Mixed/Multiple ethnic groups,34816,6.077904575
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity major,Other ethnic group,9309,1.625092305
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity major,Unknown,53931,9.414851553
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity major,White,394655,68.89577867
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,African,20375,3.556907908
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Any other Asian background,9449,1.649532408
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Any other Black/African/Caribbean background,5518,0.963289219
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Any other Mixed/Multiple ethnic background,13040,2.276421061
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Any other White background,23678,4.133519776
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Any other ethnic group,9309,1.625092305
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Bangladeshi,8032,1.402163647
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Caribbean,6850,1.195819346
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Chinese,1581,0.275998596
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,366727,64.02032718
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Gypsy/Roma,2074,0.362062675
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Indian,9100,1.588606722
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Irish,1405,0.245273895
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Irish traveller,771,0.134595141
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Pakistani,19213,3.35405505
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,Unknown,53931,9.414851553
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,White and Asian,6248,1.090726901
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,White and Black African,4799,0.837771831
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity minor,White and Black Caribbean,10729,1.872984783
2024,Calendar year,National,E92000001,England,,,,,,Sex,Female,164216,28.66754302
2024,Calendar year,National,E92000001,England,,,,,,Sex,Male,408612,71.33228241
2024,Calendar year,National,E92000001,England,,,,,,Sex,Not known,1,0.000174572
2024,Calendar year,National,E92000001,England,,,,,,Total,Total,576474,100
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity major,Asian/Asian British,859,3.271383959
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity major,Black/African/Caribbean/Black British,366,1.393860919
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity major,Mixed/Multiple ethnic groups,638,2.4297357
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity major,Other ethnic group,230,0.875923528
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity major,Unknown,2239,8.526925128
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity major,White,21926,83.50217077
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,African,267,1.016832965
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Any other Asian background,190,0.723589001
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Any other Black/African/Caribbean background,92,0.350369411
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Any other Mixed/Multiple ethnic background,315,1.199634397
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Any other White background,415,1.580470714
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Any other ethnic group,230,0.875923528
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Bangladeshi,213,0.811181354
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Caribbean,7,0.026658542
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Chinese,61,0.232310153
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,21387,81.44946302
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Gypsy/Roma,87,0.331327595
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Indian,85,0.323710869
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Irish,26,0.099017442
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Irish traveller,11,0.041891995
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Pakistani,310,1.180592581
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,Unknown,2239,8.526925128
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,White and Asian,158,0.60172138
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,White and Black African,96,0.365602864
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,White and Black Caribbean,69,0.262777058
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Sex,Female,7376,28.09048671
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Sex,Male,18882,71.90951329
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Sex,Not known,0,0
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,26258,100
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Asian/Asian British,36,2.135231317
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Black/African/Caribbean/Black British,37,2.194543298
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Mixed/Multiple ethnic groups,47,2.787663108
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Other ethnic group,48,2.846975089
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Unknown,11,0.652431791
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,White,1507,89.3831554
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,African,8,0.474495848
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other Asian background,13,0.771055753
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other Black/African/Caribbean background,28,1.660735469
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other Mixed/Multiple ethnic background,47,2.787663108
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other White background,56,3.321470937
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other ethnic group,48,2.846975089
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Bangladeshi,5,0.296559905
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Caribbean,1,0.059311981
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Chinese,6,0.355871886
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,1448,85.88374852
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Gypsy/Roma,3,0.177935943
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Indian,8,0.474495848
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Irish,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Irish traveller,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Pakistani,4,0.237247924
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Unknown,11,0.652431791
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,White and Asian,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,White and Black African,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,White and Black Caribbean,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Sex,Female,490,29.0628707
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Sex,Male,1196,70.9371293
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Sex,Not known,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Total,Total,1686,100
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Asian/Asian British,333,12.02600217
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Black/African/Caribbean/Black British,162,5.850487541
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Mixed/Multiple ethnic groups,133,4.803178043
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Other ethnic group,58,2.094618996
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Unknown,119,4.297580354
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,White,1964,70.9281329
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,African,131,4.730949801
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other Asian background,70,2.527988443
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other Black/African/Caribbean background,31,1.119537739
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other Mixed/Multiple ethnic background,75,2.708559047
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other White background,80,2.88912965
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other ethnic group,58,2.094618996
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Bangladeshi,108,3.900325027
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Caribbean,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Chinese,22,0.794510654
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,1853,66.91946551
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Gypsy/Roma,25,0.902853016
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Indian,28,1.011195377
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Irish,4,0.144456482
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Irish traveller,2,0.072228241
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Pakistani,105,3.791982665
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Unknown,119,4.297580354
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,White and Asian,35,1.263994222
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,White and Black African,16,0.57782593
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,White and Black Caribbean,7,0.252798844
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Sex,Female,815,29.43300831
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Sex,Male,1954,70.56699169
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Sex,Not known,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Total,Total,2769,100
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Asian/Asian British,43,1.984310106
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Black/African/Caribbean/Black British,19,0.876788186
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Mixed/Multiple ethnic groups,51,2.353484079
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Other ethnic group,10,0.461467467
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Unknown,226,10.42916474
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,White,1818,83.89478542
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,African,12,0.55376096
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other Asian background,14,0.646054453
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other Black/African/Caribbean background,6,0.27688048
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other Mixed/Multiple ethnic background,21,0.96908168
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other White background,34,1.568989386
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other ethnic group,10,0.461467467
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Bangladeshi,16,0.738347946
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Caribbean,1,0.046146747
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Chinese,5,0.230733733
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,1782,82.23350254
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Gypsy/Roma,1,0.046146747
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Indian,4,0.184586987
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Irish,1,0.046146747
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Irish traveller,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Pakistani,4,0.184586987
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Unknown,226,10.42916474
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,White and Asian,12,0.55376096
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,White and Black African,12,0.55376096
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,White and Black Caribbean,6,0.27688048
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Sex,Female,597,27.54960775
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Sex,Male,1570,72.45039225
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Sex,Not known,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Total,Total,2167,100
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Asian/Asian British,28,1.640304628
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Black/African/Caribbean/Black British,14,0.820152314
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Mixed/Multiple ethnic groups,20,1.171646163
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Other ethnic group,7,0.410076157
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Unknown,551,32.27885179
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,White,1087,63.67896895
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,African,12,0.702987698
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other Asian background,4,0.234329233
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other Black/African/Caribbean background,1,0.058582308
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other Mixed/Multiple ethnic background,15,0.878734622
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other White background,6,0.351493849
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other ethnic group,7,0.410076157
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Bangladeshi,20,1.171646163
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Caribbean,1,0.058582308
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Chinese,1,0.058582308
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,1080,63.26889279
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Gypsy/Roma,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Indian,2,0.117164616
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Irish,1,0.058582308
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Irish traveller,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Pakistani,1,0.058582308
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Unknown,551,32.27885179
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,White and Asian,5,0.292911541
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,White and Black African,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,White and Black Caribbean,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Sex,Female,499,29.23257176
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Sex,Male,1208,70.76742824
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Sex,Not known,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Total,Total,1707,100
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Asian/Asian British,74,2.652329749
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Black/African/Caribbean/Black British,22,0.788530466
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Mixed/Multiple ethnic groups,51,1.827956989
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Other ethnic group,1,0.035842294
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Unknown,483,17.31182796
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,White,2159,77.38351254
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,African,18,0.64516129
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other Asian background,13,0.465949821
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other Black/African/Caribbean background,4,0.143369176
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other Mixed/Multiple ethnic background,18,0.64516129
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other White background,28,1.003584229
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other ethnic group,1,0.035842294
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Bangladeshi,36,1.290322581
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Caribbean,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Chinese,8,0.286738351
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,2123,76.09318996
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Gypsy/Roma,6,0.215053763
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Indian,7,0.250896057
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Irish,2,0.071684588
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Irish traveller,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Pakistani,10,0.358422939
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Unknown,483,17.31182796
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,White and Asian,16,0.573476703
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,White and Black African,13,0.465949821
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,White and Black Caribbean,4,0.143369176
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Sex,Female,752,26.95340502
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Sex,Male,2038,73.04659498
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Sex,Not known,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Total,Total,2790,100
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity major,Asian/Asian British,22,2.561117579
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity major,Black/African/Caribbean/Black British,2,0.232828871
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity major,Mixed/Multiple ethnic groups,6,0.698486612
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity major,Other ethnic group,6,0.698486612
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity major,Unknown,16,1.862630966
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity major,White,807,93.94644936
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,African,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Any other Asian background,9,1.047729919
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Any other Black/African/Caribbean background,2,0.232828871
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Any other Mixed/Multiple ethnic background,1,0.116414435
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Any other White background,12,1.396973225
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Any other ethnic group,6,0.698486612
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Bangladeshi,4,0.465657742
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Caribbean,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Chinese,2,0.232828871
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,792,92.20023283
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Gypsy/Roma,0,0
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Ethnicity minor,Indian,2,0.232828871
